"","x"
"1",0.0665422478691076
"2",0.048282881680069
"3",0.034137606343938
"4",0.0235219969337429
"5",0.0601599924995539
"6",0.0430713585062961
"7",0.0300197768627189
"8",0.020373428824652
"9",0.0567215892335148
"10",0.040038169495694
"11",0.0274484657684602
"12",0.0182801208304641
"13",0.0431127371271911
"14",0.0295744236811969
"15",0.0196731813937062
"16",0.0646082463205152
"17",0.0460011804838729
"18",0.0317608869825352
"19",0.0212637986673942
"20",0.0634620976676496
"21",0.0450461670617091
"22",0.03099457795691
"23",0.0206722204168064
"24",0.0620142748432011
"25",0.0438504024942717
"26",0.0300439969450818
"27",0.0199454123298976
"28",0.0485592383655458
"29",0.0337372130593317
"30",0.022733074269623
"31",0.0705836147306217
"32",0.0508353514668946
"33",0.0355274095956877
"34",0.0240888000295267
"35",0.0665232885093518
"36",0.0473248925831584
"37",0.0326055038968338
"38",0.0217521545213966
"39",0.0626483032575558
"40",0.0440500777564047
"41",0.0299458441403949
"42",0.0196797755521241
"43",0.071530562226183
"44",0.0514915459022264
"45",0.035945034439315
"46",0.0243270281215777
"47",0.0656610197673395
"48",0.0465316777313962
"49",0.031910541127041
"50",0.0211729945019279
"51",0.0626028709742332
"52",0.0439628635736777
"53",0.0298381015952767
"54",0.0195696740712318
"55",0.0565439479804689
"56",0.0392409483097915
"57",0.0263168741841439
"58",0.0170564318600177
"59",0.0797394022653291
"60",0.0572985256887767
"61",0.0398075227513951
"62",0.0267222533912979
"63",0.0173329390618175
"64",0.0618483708471385
"65",0.0429518706887437
"66",0.0287316650267098
"67",0.0185064242385256
"68",0.056277428463885
"69",0.0385445820296504
"70",0.0254043364034163
"71",0.016110195833627
"72",0.0587203227393672
"73",0.0402027188415117
"74",0.0264358163467367
"75",0.0166893495375502
"76",0.0627952371443939
"77",0.0432321397371244
"78",0.0285577723307261
"79",0.0180884089504825
"80",0.0823293272957581
"81",0.0581690839586332
"82",0.0393905675812547
"83",0.0255249204966066
"84",0.0158180333514001
"85",0.0570403759547789
"86",0.0384807727939825
"87",0.0248293211545302
"88",0.0153144529076453
"89",0.0501353146707808
"90",0.0326536852695495
"91",0.0201970858005249
"92",0.0118559943458093
"93",0.044102899820387
"94",0.0280595556435631
"95",0.0169132426370612
"96",0.00965500000555904
"97",0.0521236237012435
"98",0.0343648610318892
"99",0.0215758869813113
"100",0.0128928009756762
"101",0.0521390095246008
"102",0.03435206382661
"103",0.0215476756681103
"104",0.0128602137906836
"105",0.0491375539832911
"106",0.031675502136447
"107",0.0193330890630713
"108",0.0111638821505377
"109",0.0558253763097479
"110",0.036689055275918
"111",0.0228456815189989
"112",0.0134620054598579
"113",0.0539831274538544
"114",0.0349527412641322
"115",0.0213463703576944
"116",0.0122788924663553
"117",0.0556343964799993
"118",0.0361293713490855
"119",0.0221169581514297
"120",0.0127414887303059
"121",0.051580226835923
"122",0.0330026487969517
"123",0.0198710625827298
"124",0.0112429202946856
"125",0.0733335949269769
"126",0.0488883017748737
"127",0.0305791879231481
"128",0.0178795754483295
"129",0.00975530558108615
"130",0.0510726507081866
"131",0.0321694015863949
"132",0.0189435377726221
"133",0.0104084847965488
"134",0.049543701082345
"135",0.0310066427003865
"136",0.0181273881074567
"137",0.00988133808092996
"138",0.049323652706898
"139",0.0303347151392778
"140",0.0172843903392454
"141",0.00910007220519982
"142",0.0488531809391702
"143",0.029681205857282
"144",0.0166149078160256
"145",0.00854204526341434
"146",0.0448862022520803
"147",0.0268008914692188
"148",0.0147217842287432
"149",0.00741934886682111
"150",0.0416112519997763
"151",0.0245093288768013
"152",0.0132756459173474
"153",0.00659796405228394
"154",0.0521194232780251
"155",0.0330747970814854
"156",0.0197285088816121
"157",0.011046756217524
"158",0.00580748320485028
"159",0.0526105986372572
"160",0.0332325892669993
"161",0.0196769981907492
"162",0.0109038517911182
"163",0.00565500318599563
"164",0.0447143496844322
"165",0.0283902513108667
"166",0.0170982692356078
"167",0.00976686245255452
"168",0.0052961675924952
"169",0.0443186730111531
"170",0.0276981967729553
"171",0.0163285638357816
"172",0.00907650538382602
"173",0.00476121140287061
"174",0.0375400712490329
"175",0.0228207126245414
"176",0.0130635255860749
"177",0.00704280102766353
"178",0.00358030145374443
"179",0.0468580293421016
"180",0.0298997096211554
"181",0.0180888735326511
"182",0.0103729485518367
"183",0.00564245911919325
"184",0.0508375114217907
"185",0.0329481384416572
"186",0.0202820333224454
"187",0.0118532861374801
"188",0.00658054527697951
"189",0.0536777424774369
"190",0.0350791313188669
"191",0.0217828009469693
"192",0.0128450259939822
"193",0.00719611601045721
"194",0.0529585721672192
"195",0.0343398769146826
"196",0.0211068151295663
"197",0.0122886361697369
"198",0.00677976011427919
"199",0.0602510891763992
"200",0.0400967351249703
"201",0.0253815344643067
"202",0.015268097835311
"203",0.00872879618471665
"204",0.0573941493404298
"205",0.0378526884955827
"206",0.0237222728162392
"207",0.014115315643292
"208",0.00797619437358854
"209",0.0424102151074029
"210",0.027123032803257
"211",0.0165018932003699
"212",0.00955115369413936
"213",0.0548753582541205
"214",0.0358375083023421
"215",0.022206596744112
"216",0.0130461123391411
"217",0.00726896739798417
"218",0.0602680270747016
"219",0.0400276248278226
"220",0.0252665311109518
"221",0.015142930118236
"222",0.00861754990761023
"223",0.0408672410890076
"224",0.0258519880432243
"225",0.0155240513953516
"226",0.00884933839152966
"227",0.0571705596639856
"228",0.0374394912026765
"229",0.0232352392326385
"230",0.0136516567642611
"231",0.00759459595744417
"232",0.0553415516823365
"233",0.0360120965121155
"234",0.0221908947469475
"235",0.0129367408284566
"236",0.00713666892336551
"237",0.0458312674248888
"238",0.0289612082923044
"239",0.0173089365556523
"240",0.00978103630723144
"241",0.00522996706555765
"242",0.039697295788678
"243",0.0245436044440299
"244",0.014340802714559
"245",0.00791986515253667
"246",0.00413870948551031
"247",0.0429427057628685
"248",0.0268789263134429
"249",0.0159091860669908
"250",0.00890331492736014
"251",0.00471559256487986
"252",0.0398109231310822
"253",0.0244845831025353
"254",0.0142012852852544
"255",0.00776808637081297
"256",0.00401175120555749
"257",0.0314412272835481
"258",0.0190760359386749
"259",0.010983279594854
"260",0.00600639803010106
"261",0.00312483561862248
"262",0.0355800960114937
"263",0.0221071607337935
"264",0.0130693878241224
"265",0.00735631817267444
"266",0.00394773193096347
"267",0.0371014879520302
"268",0.0231377930908234
"269",0.0137220339982514
"270",0.00774312888311081
"271",0.00416277968525511
"272",0.0438182652578578
"273",0.0281755579887899
"274",0.0172841514113792
"275",0.0101177722475446
"276",0.00565743899004453
"277",0.0386295694401287
"278",0.0243561555692959
"279",0.0146323245509529
"280",0.00838016394433042
"281",0.00458103120383084
"282",0.0495997362342179
"283",0.0326668547059529
"284",0.0205863114537441
"285",0.0124141169256112
"286",0.00716905003207863
"287",0.047773134987287
"288",0.0312635100461518
"289",0.0195649536543478
"290",0.0117100697343332
"291",0.00670891762791468
"292",0.0439259001959997
"293",0.028203764334551
"294",0.0172666677192563
"295",0.0100813110898377
"296",0.00561909329636602
"297",0.0476025991425847
"298",0.0309869694866316
"299",0.0192566779484985
"300",0.0114251385298792
"301",0.00647718872923272
"302",0.0463411977266375
"303",0.0299926055210426
"304",0.0185164461065336
"305",0.0109052758247456
"306",0.00613251972008401
"307",0.0507806577093847
"308",0.0333183483745395
"309",0.0208682163464878
"310",0.0124752841850617
"311",0.00712332947734221
"312",0.0469412253570926
"313",0.0304378517369528
"314",0.0188286209764267
"315",0.0111120714778964
"316",0.00626210695639308
"317",0.0558906238201381
"318",0.0374466252065336
"319",0.0240273186381393
"320",0.0147613987917066
"321",0.00868789140380154
"322",0.066119118391595
"323",0.0457053219407956
"324",0.0303750380846956
"325",0.0193994343434835
"326",0.0119094746245375
"327",0.0729053999985846
"328",0.0512187221053872
"329",0.0346520250592153
"330",0.0225629021611433
"331",0.0141403976942192
"332",0.0520865956129659
"333",0.0352360346881159
"334",0.0229259183819074
"335",0.0143466728764359
"336",0.0531599433654232
"337",0.0360039452967748
"338",0.0234430611423028
"339",0.0146742427922816
"340",0.0728469153213555
"341",0.0509382434984949
"342",0.0342404859031609
"343",0.0221093144439698
"344",0.0137136343864914
"345",0.0514197262649011
"346",0.0338902811430945
"347",0.0212969314430672
"348",0.0127547893804432
"349",0.0550536474811032
"350",0.0366771356600396
"351",0.0233140109702961
"352",0.0141319294755219
"353",0.0506824196931359
"354",0.0327755599526913
"355",0.0200736796218
"356",0.01163417850331
"357",0.0536207059161373
"358",0.0349068369847289
"359",0.0215108800254579
"360",0.0125347475912926
"361",0.0472701973019771
"362",0.0302966327137809
"363",0.0183950985521622
"364",0.0105748470177913
"365",0.0482299732969555
"366",0.0307277953016035
"367",0.0184803234462289
"368",0.010482888668982
"369",0.067687021858603
"370",0.0448032344680568
"371",0.0279352269254035
"372",0.0163667014611474
"373",0.00900236183974884
"374",0.0620503551714956
"375",0.0415861137369457
"376",0.0264859380288434
"377",0.0160088051651698
"378",0.0628276904522039
"379",0.0421560582910204
"380",0.0268738441259721
"381",0.0162532619688374
"382",0.0603726760302684
"383",0.0400966883955848
"384",0.0252484538699362
"385",0.0150519726779602
"386",0.0427427935669477
"387",0.0271484326352885
"388",0.0163257491904369
"389",0.0639523633379814
"390",0.0426541897419302
"391",0.0269248821222785
"392",0.0160548959652501
"393",0.0413424033060292
"394",0.0257297678669055
"395",0.0150676296945581
"396",0.040894102897711
"397",0.0253127427866893
"398",0.0147199219627132
"399",0.0572941255020062
"400",0.0371473075159935
"401",0.0226638400500488
"402",0.0129867950390535
"403",0.0565533382683193
"404",0.0364814539190743
"405",0.0221122494579206
"406",0.0125684374874088
"407",0.0561545646922188
"408",0.0360366692976619
"409",0.0216871946634788
"410",0.0122133294342956
"411",0.0559473250848483
"412",0.035350786576
"413",0.020789328972161
"414",0.0113455637799122
"415",0.0424707369036214
"416",0.0257370883675768
"417",0.0144828455616954
"418",0.0634130071306731
"419",0.040924933298158
"420",0.0245912125832623
"421",0.0137048838195264
"422",0.0654548796417239
"423",0.0255459134278079
"424",0.0142567457402104
"425",0.0570435218838429
"426",0.0347152964231456
"427",0.0191954870743866
"428",0.00958142755695818
"429",0.0583046735839963
"430",0.0355617974833621
"431",0.0196814614381553
"432",0.0098151194832822
"433",0.0656991450454606
"434",0.0413164814129794
"435",0.0237000966822316
"436",0.0123051892472826
"437",0.0481180518375913
"438",0.0284894629102405
"439",0.0152974163291732
"440",0.054043594868716
"441",0.0328264059006295
"442",0.0181246299835027
"443",0.0493229272734134
"444",0.0283410837179883
"445",0.0144336434042473
"446",0.0490024303858035
"447",0.0280060759019475
"448",0.0141462108828849
"449",0.041679816036874
"450",0.0230133867963991
"451",0.0112289080079158
"452",0.042805278713327
"453",0.0237184800150464
"454",0.011598387531373
"455",0.0465680588922619
"456",0.0262358190406567
"457",0.0130334306205318
"458",0.0392053256560867
"459",0.0213632772979958
"460",0.0102849389194337
"461",0.0389135510161912
"462",0.0209693599755542
"463",0.00992286941072774
"464",0.0568117773520507
"465",0.033102930821881
"466",0.0169909708530457
"467",0.00758964743336642
"468",0.0460006117520202
"469",0.0253171009818335
"470",0.0121829778028106
"471",0.00507797930745857
"472",0.0438236053248299
"473",0.0234893466681963
"474",0.0108853032571402
"475",0.00431646548797028
"476",0.0416650469547052
"477",0.0219781824622407
"478",0.00999210087932804
"479",0.00387673623644983
"480",0.0338253257539994
"481",0.0170893741906611
"482",0.0074609211386041
"483",0.00279692957314061
"484",0.0416784400112627
"485",0.0224714013614509
"486",0.0106033313445601
"487",0.00434515835020167
"488",0.0326932191805019
"489",0.0168138337781787
"490",0.00758685795618042
"491",0.0029904874244074
"492",0.034915506762178
"493",0.0180915666065217
"494",0.00819496212765271
"495",0.00322738184598793
"496",0.0486495724860261
"497",0.027251397184782
"498",0.013488922591934
"499",0.00585390555026568
"500",0.00222141139892598
"501",0.0437494195145081
"502",0.0237688943223512
"503",0.0113509679701622
"504",0.00473151830854298
"505",0.00171834737660544
"506",0.0442133477252704
"507",0.0238351896922837
"508",0.0112179436671545
"509",0.00457215269957387
"510",0.00160994435335115
"511",0.046116442957435
"512",0.0250867325700165
"513",0.0119115427763756
"514",0.00489328319036603
"515",0.0017341353369633
"516",0.040058143397672
"517",0.020965915057185
"518",0.00953099591382048
"519",0.0037359446446968
"520",0.00126074514979759
"521",0.0412408021230533
"522",0.0216289561445083
"523",0.00982282012503023
"524",0.00383178910424118
"525",0.00128129531602269
"526",0.0467292024970395
"527",0.0243589746809402
"528",0.0106950169723329
"529",0.00389539825872889
"530",0.00117006275790897
"531",0.0365350667692205
"532",0.0179144510722139
"533",0.00740109291353892
"534",0.00255136928219952
"535",0.000732440353358675
"536",0.0434610227465384
"537",0.0226233736673755
"538",0.0100536042800004
"539",0.00377186286743106
"540",0.00119040143394364
"541",0.0346696594749084
"542",0.0168612331518956
"543",0.00693171435025517
"544",0.00238877374585534
"545",0.000689240222772288
"546",0.0385326983181416
"547",0.0193534913986507
"548",0.00825754505446152
"549",0.00296450948001925
"550",0.000893495853260966
"551",0.0300441076431051
"552",0.0142122982366401
"553",0.00570496187442906
"554",0.00193204978758987
"555",0.000552239687649874
"556",0.0357486411346735
"557",0.017865789376695
"558",0.00765137450624137
"559",0.00278792806785865
"560",0.000863440432227756
"561",0.038238198221316
"562",0.0194056818628888
"563",0.0084389648184933
"564",0.00311880499611486
"565",0.000977890222649117
"566",0.0464253567284299
"567",0.024967213826245
"568",0.0116145516287935
"569",0.00462569907688562
"570",0.00157156885793491
"571",0.0576813192366268
"572",0.0333330511267669
"573",0.0169511799828106
"574",0.00749869660428804
"575",0.00287003079591463
"576",0.0647676954841972
"577",0.0387349735559591
"578",0.020524961443482
"579",0.00951443068250559
"580",0.00383274420925849
"581",0.078132420289814
"582",0.0493259610843838
"583",0.0278920806876844
"584",0.0139200144604358
"585",0.00607641423931325
"586",0.0667216355782516
"587",0.0403957170588026
"588",0.0217746001837876
"589",0.0103226911147463
"590",0.00427579617023865
