Date,Open,High,Low,Close,Volume,Adj Close
2014-12-03,394.80,399.40,388.20,395.00,12336900,395.00
2014-12-02,386.90,396.30,386.90,394.80,9419100,394.80
2014-12-01,392.90,395.50,383.862,385.60,8421300,385.60
2014-11-28,389.10,396.10,388.70,395.30,13248800,395.30
2014-11-27,387.30,391.857,385.25,390.60,6977800,390.60
2014-11-26,387.10,389.00,384.50,387.00,6828400,387.00
2014-11-25,378.10,389.271,378.10,387.10,12963600,387.10
2014-11-24,376.80,383.60,376.60,378.90,11108900,378.90
2014-11-21,379.20,384.50,369.40,377.70,23798800,377.70
2014-11-20,385.00,385.10,378.80,380.60,8342600,380.60
2014-11-19,383.50,385.90,381.349,383.80,7233500,383.80
2014-11-18,381.40,383.936,378.60,381.60,6445200,381.60
2014-11-17,374.40,381.80,374.00,380.00,6410300,380.00
2014-11-14,374.50,376.90,371.689,376.60,7125100,376.60
2014-11-13,375.60,376.30,369.60,373.80,6687100,373.80
2014-11-12,375.60,380.50,372.30,374.10,8338700,374.10
2014-11-11,377.80,381.20,376.10,377.70,5401900,377.70
2014-11-10,374.50,379.10,372.80,378.50,6184300,378.50
2014-11-07,382.20,382.52,373.00,374.90,14405900,374.90
2014-11-06,381.30,385.60,377.80,380.70,8172500,380.70
2014-11-05,380.80,385.40,379.90,382.80,8018600,382.80
2014-11-04,379.00,385.935,377.50,379.50,8972000,379.50
2014-11-03,384.30,384.77,378.50,380.20,15103900,380.20
2014-10-31,375.00,389.90,369.50,388.00,39509900,388.00
2014-10-30,363.10,366.738,355.90,365.30,12616200,365.30
2014-10-29,360.20,362.50,357.50,359.80,8204000,359.80
2014-10-28,360.60,360.80,353.70,359.10,7931000,359.10
2014-10-27,368.00,369.40,356.30,359.20,12599700,359.20
2014-10-24,366.30,368.50,361.60,364.20,10946500,364.20
2014-10-23,363.00,368.40,360.149,367.50,8969500,367.50
2014-10-22,362.80,366.70,361.40,364.40,9837500,364.40
2014-10-21,349.80,362.00,348.60,360.00,14471600,360.00
2014-10-20,342.50,352.70,338.548,351.90,16165300,351.90
2014-10-17,339.60,347.932,337.70,344.90,15640000,344.90
2014-10-16,344.90,345.896,327.80,337.70,27089200,337.70
2014-10-15,359.70,360.60,342.20,342.20,17574600,342.20
2014-10-14,357.80,360.30,352.20,357.80,9884300,357.80
2014-10-13,353.50,363.40,353.50,360.50,7733800,360.50
2014-10-10,355.30,360.90,353.40,357.00,11755700,357.00
2014-10-09,368.10,369.866,356.40,358.40,12878100,358.40
2014-10-08,368.00,368.90,364.20,366.20,8462500,366.20
2014-10-07,371.40,371.88,368.10,369.70,9793100,369.70
2014-10-06,369.20,372.40,367.80,371.90,9508000,371.90
2014-10-03,362.30,369.20,359.60,366.50,14868000,366.50
2014-10-02,367.70,369.855,358.50,358.80,14495000,358.80
2014-10-01,366.40,370.50,364.30,368.60,8590400,368.60
2014-09-30,378.00,379.70,366.00,368.20,25492400,368.20
2014-09-29,362.00,364.30,358.90,361.40,5813000,361.40
2014-09-26,361.80,363.60,359.60,362.50,6769300,362.50
2014-09-25,362.60,366.80,359.20,361.40,10685900,361.40
2014-09-24,356.00,362.10,352.00,362.10,19826300,362.10
2014-09-23,360.10,360.62,357.30,357.90,8578500,357.90
2014-09-22,363.80,364.80,358.00,359.60,11981400,359.60
2014-09-19,369.40,373.80,365.80,366.00,39851900,366.00
2014-09-18,356.60,362.429,355.40,357.20,13553600,357.20
2014-09-17,354.10,357.10,350.322,354.90,13924600,354.90
2014-09-16,345.50,351.30,343.80,351.30,12816200,351.30
2014-09-15,347.70,349.40,344.558,346.70,7843300,346.70
2014-09-12,347.20,351.894,346.80,349.70,9494900,349.70
2014-09-11,348.50,351.00,343.645,346.00,15910900,346.00
2014-09-10,344.70,346.90,341.00,342.20,10037200,342.20
2014-09-09,342.20,347.00,340.905,344.20,12931300,344.20
2014-09-08,342.00,342.90,333.50,342.50,27066200,342.50
2014-09-05,356.20,358.763,346.70,347.00,10668900,347.00
2014-09-04,352.50,355.80,348.908,354.90,13634100,354.90
2014-09-03,351.50,356.90,347.40,352.20,19661400,352.20
2014-09-02,360.00,365.10,350.20,351.50,15849700,351.50
2014-09-01,361.70,363.00,355.20,360.30,4680000,360.30
2014-08-29,362.00,365.188,360.40,362.80,5715900,362.80
2014-08-28,366.60,366.70,361.00,361.70,4861500,361.70
2014-08-27,366.70,368.00,362.724,366.40,7250700,366.40
2014-08-26,359.60,365.90,358.823,365.70,7924900,365.70
2014-08-25,358.30,358.30,358.30,358.30,000,358.30
2014-08-22,360.50,365.10,357.30,358.30,6904600,358.30
2014-08-21,359.70,363.018,357.40,361.00,6992100,361.00
2014-08-20,359.80,361.90,354.50,360.10,6804800,360.10
2014-08-19,354.20,361.323,353.00,359.40,15738600,359.40
2014-08-18,349.90,351.20,346.60,351.20,7425100,351.20
2014-08-15,349.50,352.30,347.60,347.60,8147100,347.60
2014-08-14,347.10,352.40,345.513,349.20,5370100,349.20
2014-08-13,343.60,350.40,341.90,348.40,7346600,348.40
2014-08-12,340.50,344.20,336.60,342.00,10588600,342.00
2014-08-11,347.90,347.90,338.60,339.60,11440100,339.60
2014-08-08,335.00,349.40,333.812,345.60,11545200,345.60
2014-08-07,345.60,345.955,336.20,337.40,9518800,337.40
2014-08-06,345.60,347.20,338.80,346.10,8771900,346.10
2014-08-05,353.40,355.40,347.20,347.30,6941300,347.30
2014-08-04,350.00,355.60,347.90,352.50,10639600,352.50
2014-08-01,351.60,353.30,345.528,350.00,14067500,350.00
2014-07-31,363.00,364.10,354.70,355.30,8582500,355.30
2014-07-30,354.90,364.10,353.90,362.90,15553100,362.90
2014-07-29,353.40,356.50,350.60,354.00,12944200,354.00
2014-07-28,366.50,368.256,350.80,352.00,22239600,352.00
2014-07-25,360.00,378.00,359.921,364.20,51562000,364.20
2014-07-24,324.20,329.00,321.60,328.80,5341200,328.80
2014-07-23,320.30,332.96,320.30,323.60,6993900,323.60
2014-07-22,320.30,325.10,319.50,322.30,6918200,322.30
2014-07-21,318.60,320.20,316.40,319.00,5519100,319.00
2014-07-18,322.40,322.40,314.90,319.20,12271900,319.20
2014-07-17,329.60,330.80,323.10,323.70,8414700,323.70
2014-07-16,327.60,330.696,325.00,330.00,8450900,330.00
2014-07-15,319.00,328.489,317.80,327.30,13348600,327.30
2014-07-14,315.70,320.523,314.50,319.50,7568300,319.50
2014-07-11,314.40,319.41,310.70,314.10,7949900,314.10
2014-07-10,317.10,317.70,308.00,314.90,12662100,314.90
2014-07-09,319.90,321.50,314.959,316.20,8153700,316.20
2014-07-08,330.10,331.00,319.80,320.20,7559700,320.20
2014-07-07,331.70,333.40,328.345,329.90,5113000,329.90
2014-07-04,332.20,332.90,329.021,331.50,2731500,331.50
2014-07-03,325.70,332.80,324.716,332.80,10858700,332.80
2014-07-02,326.50,327.908,324.10,326.00,3899600,326.00
2014-07-01,329.90,331.50,324.80,327.00,6602000,327.00
2014-06-30,327.10,331.60,326.153,328.40,7412700,328.40
2014-06-27,324.20,329.259,323.70,327.00,9771900,327.00
2014-06-26,324.70,326.00,319.50,324.70,10768500,324.70
2014-06-25,325.70,326.854,321.83,323.00,7116000,323.00
2014-06-24,330.60,332.70,325.50,327.60,8797600,327.60
2014-06-23,337.60,338.90,329.80,330.00,7664800,330.00
2014-06-20,337.60,340.30,336.90,337.20,11224500,337.20
2014-06-19,340.70,342.50,338.40,338.50,5008900,338.50
2014-06-18,342.00,343.50,337.60,338.10,5733700,338.10
2014-06-17,339.70,342.487,336.00,341.90,8486900,341.90
2014-06-16,341.90,345.20,338.40,339.60,10520200,339.60
2014-06-13,341.00,343.80,336.90,342.20,12043900,342.20
2014-06-12,338.00,340.815,335.10,340.30,11466300,340.30
2014-06-11,342.90,344.022,338.40,340.00,14028100,340.00
2014-06-10,342.60,344.20,340.50,341.60,9995100,341.60
2014-06-09,340.00,343.50,338.40,343.20,13669200,343.20
2014-06-06,340.00,342.70,336.10,338.60,12421300,338.60
2014-06-05,336.90,342.70,335.40,337.20,9193200,337.20
2014-06-04,340.50,340.50,334.043,337.90,9110400,337.90
2014-06-03,343.80,346.00,339.60,341.00,7334800,341.00
2014-06-02,345.00,347.20,343.40,344.90,5136200,344.90
2014-05-30,344.30,349.60,343.00,346.60,24794100,346.60
2014-05-29,343.60,346.70,342.90,346.30,6862300,346.30
2014-05-28,339.90,344.40,339.60,343.10,15189100,343.10
2014-05-27,336.10,342.80,334.00,339.10,8591100,339.10
2014-05-26,334.60,334.60,334.60,334.60,000,334.60
2014-05-23,331.70,336.133,330.70,334.60,5202600,334.60
